fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.7000000000000001,0.3823127060657661,11,7,30,0.0044686599230856,-0.9835460189853132,AC,579,6026.037843205444,4085.966958152812,3097.629129162255,0,11,CA,141,1,BB,0,1,-1,1,200.0,0,INTERNET,2.1482908767851026,windows,0,1,0,7
0,0.8,0.1093519518997182,-1,32,20,0.0343962552060327,9.08798829463226,AA,1275,3762.854474533969,5443.327241530887,6646.404937595528,1211,8,CA,195,1,BC,0,1,28,0,1500.0,0,INTERNET,9.158930303688935,other,0,1,0,0
0,0.8,0.9997547989160112,-1,52,20,0.0099591256158261,-1.578229423456846,AD,920,7859.229468495111,3833.788405288687,4877.948880094668,8,15,CA,148,0,BC,0,1,10,1,200.0,1,INTERNET,3.2024393908242272,macintosh,0,1,0,4
0,0.1,0.1981523289450666,-1,26,20,0.0062482121814131,-1.3734876177777269,AC,1909,10219.14223678547,4993.5515877397465,5231.319720841819,0,17,CA,91,0,BE,1,1,-1,0,200.0,0,INTERNET,6.600139236441659,other,1,1,0,3
0,0.6000000000000001,0.0426299216658918,-1,180,30,0.0212414374786513,-0.0845124787736565,AB,1292,1442.9550849802115,3831.777650704707,6297.845181167969,736,8,CB,151,1,BE,1,1,1,0,200.0,0,INTERNET,6.169352402443737,windows,0,1,0,0
0,0.9,0.990819059986918,-1,189,40,0.0156688323358533,16.819535413491067,AA,3609,11800.225211117971,3869.097728107551,5566.942434504448,5,4,CB,228,1,BA,0,1,1,0,1000.0,0,INTERNET,8.030058870297543,macintosh,0,1,0,1
0,0.7000000000000001,0.0451776540687998,-1,42,30,0.9611551232557088,-0.6996198455064491,AD,4896,5998.557887283623,4462.585485303155,4327.882827889189,2185,4,CA,67,1,BB,0,1,28,0,200.0,0,INTERNET,6.69419897353156,linux,0,1,0,5
0,0.6000000000000001,0.6410509876998016,-1,249,20,0.0137046599864061,-0.1804921655342427,AB,699,3904.233924281456,3230.944108459677,4221.166645658725,697,20,CA,115,0,BE,1,1,1,0,200.0,0,INTERNET,2.425805016453705,windows,1,1,0,5
0,0.3,0.1135682211762957,60,9,40,0.0054410568755761,-0.3777613464337317,AB,943,7260.281065053897,6231.544602225948,5958.8580431455575,577,2,CA,209,1,BC,0,1,-1,0,1500.0,0,INTERNET,3.5954175461482576,macintosh,0,1,0,0
0,0.5,0.151083352721378,-1,80,30,0.0224131248892906,12.419193489619634,AA,979,2588.766427890933,4373.859243920714,4224.607062048793,13,17,CA,95,0,BE,0,1,30,0,200.0,0,INTERNET,0.8804600123285655,other,1,1,0,5
0,0.9,0.7954237039438595,-1,73,50,0.0099604046938492,-0.7786461555760312,AB,3818,5560.137048739476,4018.873552077276,5294.026468848398,14,4,CA,92,0,BB,1,1,31,1,2000.0,0,INTERNET,1.5931429551499945,other,0,1,0,3
0,0.9,0.3708649394148393,30,10,30,0.0042812830455986,-0.9379216681885608,AC,1816,9694.204552799098,6177.430500332184,4733.810682616298,0,18,CA,199,1,BC,1,0,-1,0,500.0,0,INTERNET,3.22522180345001,other,1,1,0,3
0,0.1,0.2047694435305661,55,8,30,0.0063800606577162,-1.5097713365489784,AB,764,605.5865491735495,3274.577249693171,3937.6874232916807,1,8,CA,201,1,BC,0,1,5,0,200.0,0,INTERNET,15.599591424012976,other,1,1,0,6
0,0.1,0.7786488549562895,-1,56,30,0.0077912282178483,-0.872401121932615,AB,3124,4112.38924987914,3254.218195472017,4205.452610990321,1390,9,CA,132,0,BB,0,1,27,1,200.0,0,INTERNET,3.74657255624236,windows,1,1,0,6
0,0.5,0.0810772428777456,-1,35,40,0.0211473397947705,-0.7274753450456453,AB,2692,4962.855549585199,4814.593356750531,4639.690297520688,15,3,CA,214,1,BC,0,1,30,1,1500.0,0,INTERNET,2.7401075397425347,linux,0,1,0,3
0,0.9,0.1994205117991073,-1,65,30,0.0338488941800504,-1.6586295005611071,AB,535,3385.000535887261,3476.874994708014,4080.430585793196,20,6,CA,97,0,BC,0,1,20,1,200.0,0,INTERNET,3.1783273580188665,other,0,1,0,6
0,0.4,0.9896919791453022,-1,104,20,0.0024212630884722,-1.3971815635724705,AB,2440,10827.834094582888,5250.0020848453605,5976.217726010716,1,13,CA,69,1,BE,0,1,31,0,200.0,0,INTERNET,5.325536630896308,windows,1,1,0,0
0,0.5,0.4008077910775133,-1,69,30,0.0108169666897712,-0.8534107733725543,AC,606,4164.127045289164,3267.523304614432,3112.6300005778703,1,11,CA,229,1,BA,0,1,-1,0,1500.0,0,INTERNET,2.461030766018222,windows,0,1,0,7
0,0.1,0.914869177168701,-1,48,20,0.0161939773127264,51.46893808417139,AA,925,3213.934976258605,3052.6929908651173,5568.347193039091,1513,12,CA,220,0,BE,0,1,1,0,1500.0,0,INTERNET,8.40453890527599,linux,1,1,0,2
0,0.8,0.1505427626772069,-1,60,20,0.0126387708307416,4.814047249692724,AA,1445,11544.182108047762,3468.263017734728,4309.271212687329,1,6,CA,170,1,BB,1,1,1,1,1000.0,0,INTERNET,1.8349306010073867,other,0,1,0,6
